,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
200,201,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09,Pedro
400,401,2004-06-02,Piso,Alquiler,Barcelona,271,2682900,2005-06-02,Pedro
600,601,2004-08-08,Casa,Alquiler,Girona,147,919632,2005-06-23,Luisa
800,801,2004-10-13,Local,Alquiler,Tarragona,159,1323198,2005-08-26,Jesús
1000,1001,2004-12-25,Local,Venta,Barcelona,250,1368750,2005-06-07,Luisa
1200,1201,2005-03-07,Suelo,Venta,Tarragona,54,298350,2005-06-14,Carmen
1400,1401,2005-05-13,Casa,Venta,Barcelona,280,2349200,2006-04-13,Pedro
1600,1601,2005-07-28,Industrial,Venta,Lleida,136,1309544,2005-11-19,Joaquín
1800,1801,2005-10-06,Piso,Venta,Tarragona,127,1204722,2006-07-29,Joaquín
2000,2001,2005-12-25,Suelo,Venta,Barcelona,265,1348055,2006-07-19,Joaquín
2200,2201,2006-02-24,Industrial,Alquiler,Barcelona,257,1598283,2007-02-03,Luisa
2400,2401,2006-05-13,Local,Venta,Girona,216,2144448,2007-01-26,María
2600,2601,2006-07-22,Parking,Venta,Girona,200,1021000,2006-11-20,Joaquín
2800,2801,2006-10-13,Suelo,Venta,Tarragona,189,1794366,,
3000,3001,2006-12-25,Local,Alquiler,Lleida,273,1993446,,
3200,3201,2007-03-09,Parking,Alquiler,Girona,93,849462,,
