,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,1,2004-01-01,Parking,Alquiler,Lleida,291,2133903,2004-06-19,Carmen
1,2,2004-01-01,Local,Venta,Girona,199,1945424,2004-04-19,Pedro
3,4,2004-01-02,Parking,Alquiler,Girona,285,1815450,2004-04-27,Jesús
4,5,2004-01-02,Suelo,Venta,Tarragona,152,1138024,2004-07-10,María
7,8,2004-01-03,Oficina,Venta,Girona,235,2158475,2004-10-31,Jesús
9,10,2004-01-04,Parking,Venta,Lleida,299,2042768,2004-10-06,Joaquín
11,12,2004-01-04,Industrial,Venta,Girona,187,999328,2004-04-05,Carmen
12,13,2004-01-04,Parking,Venta,Barcelona,300,2937300,2004-11-04,Jesús
13,14,2004-01-04,Local,Venta,Tarragona,68,664700,2004-10-01,Carmen
17,18,2004-01-06,Suelo,Venta,Barcelona,283,1679605,2004-06-06,Carmen
20,21,2004-01-09,Industrial,Venta,Barcelona,228,2020992,2004-06-12,Carmen
33,34,2004-01-15,Casa,Venta,Barcelona,281,2483197,2004-11-01,María
34,35,2004-01-15,Industrial,Alquiler,Tarragona,257,1799771,2004-12-31,Luisa
36,37,2004-01-16,Local,Venta,Girona,229,1160572,2004-07-09,Pedro
37,38,2004-01-17,Suelo,Alquiler,Tarragona,300,1492800,2004-12-08,Joaquín
39,40,2004-01-18,Oficina,Venta,Girona,182,1057784,2004-07-22,Jesús
40,41,2004-01-18,Piso,Venta,Barcelona,230,1421860,2004-09-23,Jesús
41,42,2004-01-19,Oficina,Venta,Tarragona,168,1426992,2004-11-20,Jesús
43,44,2004-01-19,Casa,Venta,Girona,278,1537062,2004-12-16,María
44,45,2004-01-20,Oficina,Alquiler,Barcelona,287,2851058,2005-01-02,Joaquín
47,48,2004-01-20,Industrial,Venta,Barcelona,284,1457488,2004-07-06,Jesús
48,49,2004-01-20,Local,Venta,Girona,40,321680,2005-01-11,Jesús
50,51,2004-01-20,Industrial,Venta,Lleida,90,568620,2004-12-14,Joaquín
54,55,2004-01-22,Local,Venta,Girona,127,983234,2004-07-09,Carmen
55,56,2004-01-23,Piso,Venta,Lleida,54,239220,2004-05-01,María
57,58,2004-01-24,Local,Alquiler,Girona,274,2287626,2004-12-21,María
58,59,2004-01-24,Industrial,Venta,Tarragona,166,1373816,2004-11-19,Joaquín
59,60,2004-01-24,Oficina,Alquiler,Lleida,270,1920240,2004-06-28,Jesús
60,61,2004-01-24,Casa,Venta,Tarragona,120,1140840,2004-09-12,Carmen
